RKY,DATE,TIME,RACE,SEX,AGE,RESISTANCE_LEVEL,FORCE_LEVEL,PHYSICAL,F6INONE,PRESSURE_POINT,COME_ALONG,ACTIVE_COUNTERMEASURE,SHOULDER_PIN,OC_SPRAY,FIREARM,HANDCUFFS,BATON,TASER,K_9,OFFICER_INJURED_NO_MED_REQ,OFFICER_INJURED_MED_REQ,SUSPECT_OINJURED_NO_MED,SUSPECT_INJURED_MED_REQ,FID,ObjectId
C0-010925,2020/02/05 00:00:00+00,2330,W,M,20,D,C,,,,X,,,,,,,,,N,,Y,N,,80
C0-010925,2020/02/05 00:00:00+00,2330,W,M,20,D,C,,,,X,,,,,,,,,N,,Y,N,,81
C0-009694,2020/02/02 00:00:00+00,105,,M,0,,Z,,,,,,,,X,,,,,N,,,,,82
C0-009685,2020/02/02 00:00:00+00,30,I,F,37,D,C,,,,X,,,,,X,,,,Y,N,N,N,,83
C0-008984,2020/01/30 00:00:00+00,2047,W,F,32,E,C,,,,X,,,,,X,,,,Y,N,Y,N,,84
C0-008940,2020/01/30 00:00:00+00,1755,A,M,41,F,G,,,,,,,,,X,,X,,N,,N,Y,,85
C0-008940,2020/01/30 00:00:00+00,1755,A,M,41,F,G,,,,,,,X,,X,,,,N,,N,Y,,86
C0-008302,2020/01/28 00:00:00+00,1821,W,M,19,E,D,,,,X,,,,,X,,,,Y,Y,N,N,,87
C0-008069,2020/01/28 00:00:00+00,37,B,M,21,D,G,,,,X,,,,,X,,X,,Y,N,Y,Y,,88
C0-008069,2020/01/28 00:00:00+00,37,B,M,21,D,G,,,,,,,,,X,,X,,Y,N,Y,Y,,89
C0-005408,2020/01/19 00:00:00+00,1436,W,M,31,E,G,,,,X,,,,,X,,X,,N,,N,Y,,90
C0-003802,2020/01/14 00:00:00+00,447,A,M,26,E,G,,,,X,,,,,X,,X,,Y,N,Y,Y,,91
C0-003802,2020/01/14 00:00:00+00,447,A,M,26,E,D,,,,X,,,,,X,,,,Y,N,Y,Y,,92
C0-003464,2020/01/13 00:00:00+00,110,W,M,20,D,D,,,X,X,,,,,X,,,,N,,N,N,,93
C0-003380,2020/01/12 00:00:00+00,1737,W,M,27,C,C,,,,X,,,,,X,,,,N,,Y,Y,,94
C0-002627,2020/01/10 00:00:00+00,2305,B,F,20,E,C,,,,,,,,,X,,,,Y,N,N,N,,95
C0-002262,2020/01/08 00:00:00+00,2153,W,M,44,E,G,,,,X,,,,,X,,,,N,,Y,Y,,96
