Event,District,Nature,How Received,Date,Physical Contact,Less Lethal,Launch Projectile,Drew Less Lethal,Draw Weapon,Taser Pointed,Taser Fired,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race White, Non-Hispanic","Suspect Race White, Hispanic","Suspect Race AA, Non-Hispanic","Suspect Race AA, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
B16-09618,2,Fight,911 Line,03/13/2016 12:39:00 AM,true,false,false,false,false,,,false,false,false,Intoxicated,true,false,Arrestee,false,false,,true,24,true,,,,,,,
B16-09855,3,Service,911 Line,03/27/2016 03:27:00 AM,true,false,false,false,false,,,false,false,false,Intoxicated,false,true,Arrestee,false,false,,true,21,true,,,,,,,
B16-09943,5,Welfare Check,Telephone,03/15/2016 06:05:00 PM,true,false,false,false,false,,,false,false,false,Intoxicated,false,false,Involved,false,false,,true,45,true,,,,,,,
B16-10225,1,Suspicious Activity,Officer Report,03/18/2016 03:25:00 AM,true,false,false,false,false,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,,true,32,,,true,,,,,
B16-10369,5,Welfare Check,Telephone,03/20/2016 02:44:00 AM,false,false,false,false,true,,,false,false,false,Intoxicated,true,false,Suspect,false,false,,true,33,true,,,,,,,
B16-10536,4,Robbery,911 Line,03/20/2016 04:00:00 PM,false,false,false,false,true,,,false,false,true,Normal,true,false,Arrestee,false,false,true,,25,true,,,,,,,
B16-10688,3,Suspicious Activity,911 Line,03/21/2016 07:40:00 PM,true,false,false,false,false,,,false,false,false,Intoxicated/Mentally Disturbed,false,false,Arrestee,false,false,,true,27,true,,,,,,,
B16-10875,4,Burglary,Telephone,03/23/2016 12:18:00 PM,true,false,false,false,false,,,false,false,true,Normal,false,true,Arrestee,false,false,,true,34,true,,,,,,,
B16-11478,,Follow Up,Officer Report,03/27/2016 03:06:00 AM,false,false,false,false,true,,,false,false,true,Normal,false,false,Mentioned,false,false,,true,16,true,,,,,,,
B16-11533,3,Weapons,911 Line,03/28/2016 06:06:00 PM,true,false,false,false,true,,,false,false,false,Normal,true,false,Arrestee/Suspect,false,false,,true,48,,,true,,,,,
B16-11902,1,Welfare Check,911 Line,03/30/2016 06:09:00 PM,true,false,false,false,false,,,false,false,false,Normal,false,false,Arrestee,false,false,true,,29,,,true,,,,,
B16-12221,4,Burglary,911 Line,04/01/2016 08:51:00 PM,false,false,false,false,true,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,,true,33,true,,,,,,,
B16-12238,1,Warrant Service,Telephone,04/01/2016 11:09:00 PM,true,false,false,false,true,,,false,false,false,Normal,true,false,Arrestee,false,false,,true,25,true,,,,,,,
B16-12238,1,Warrant Service,Telephone,04/01/2016 11:09:00 PM,false,false,false,false,true,,,false,false,false,Normal,false,false,Arrestee,false,false,true,,26,true,,,,,,,
B16-12261,3,Domestic,911 Line,04/02/2016 01:22:00 AM,true,false,false,false,false,,,false,false,false,Intoxicated/Mentally Disturbed,false,false,Arrestee,false,false,,true,25,,,true,,,,,
B16-12310,1,Welfare Check,Telephone,04/02/2016 01:14:00 PM,true,false,false,false,false,,,false,false,false,Intoxicated,false,true,Arrestee,false,false,,true,53,true,,,,,,,
B16-13009,5,Domestic,Telephone,04/07/2016 06:44:00 PM,false,false,false,false,true,,,false,false,false,Intoxicated/Mentally Disturbed,true,false,Arrestee/Suspect,false,false,,true,35,true,,,,,,,
B16-13450,3,Disturbance,911,04/10/2016 09:05:00 PM,true,false,false,false,false,,,false,false,false,Intoxicated,false,true,Arrestee,true,true,,true,20,,,,,,,true,
B16-14297,1,Drunk,Officer Report,04/16/2016 02:19:00 AM,true,false,false,false,false,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,,true,42,,,true,,,,,
B16-14540,1,Drunk,Officer Report,04/17/2016 02:09:00 AM,true,false,false,false,false,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,,true,22,true,,,,,,,
B16-14701,2,Welfare Check,911 Line,04/18/2016 10:00:00 AM,true,false,false,false,false,,,false,false,false,Intoxicated/Mentally Disturbed,false,false,Juvenile Referral,true,false,true,,16,true,,,,,,,
B16-14763,4,Drugs,Telephone,04/18/2016 03:00:00 PM,true,false,false,false,false,,,false,false,false,Normal,false,true,Arrestee,false,false,,true,27,true,,,,,,,
B16-14831,1,Disturbance,911 Line,04/18/2016 12:45:00 AM,true,false,false,false,false,,,false,false,true,Intoxicated,false,false,Arrestee,false,false,,true,23,true,,,,,,,
B16-14833,3,Weapons,911 Line,04/19/2016 02:15:00 AM,false,false,false,false,true,,,false,false,false,Mentally Disturbed,true,false,Arrestee,false,false,true,,57,true,,,,,,,
B16-14965,4,Warrant Service,Officer Report,04/19/2016 11:06:00 PM,true,false,false,false,false,,,false,false,true,Intoxicated,false,true,Arrestee,false,false,,true,52,true,,,,,,,
B16-15191,5,Disturbance,911 Line,04/21/2016 06:05:00 PM,true,false,false,false,false,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,,true,21,,,true,,,,,
B16-15350,5,Suspicious Activity,Telephone,04/22/2016 09:39:00 PM,false,false,false,false,true,,,false,false,false,Unknown,true,false,Complainant,false,false,,true,47,true,,,,,,,
B16-15360,4,Suspicious Activity,Telephone,04/22/2016 11:45:00 PM,true,false,false,false,false,,,false,false,false,Normal,false,false,Arrestee,false,false,,true,25,,,true,,,,,
B16-15567,2,Suspicious Activity,911 Line,04/24/2016 04:08:00 AM,true,false,false,false,false,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,,true,20,true,,,,,,,
B16-15624,3,Welfare Check,Telephone,04/24/2016 07:24:00 PM,true,false,false,false,false,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,,true,27,true,,,,,,,
