RKY,DATE,TIME,RACE,SEX,AGE,RLV,FLV,NPP,F6INONE,PP,COA,AC,SP,OC,FIRE,CUF,NBA,TA,DOG,OINJ,OMED,SINJ,SMED,ObjectId
C3-068617,2023/08/02 00:00:00+00,1970/01/01 00:00:02.130+00,W,M,50,E,D,,,,X,,,,,X,,,,N,,Y,N,98
C3-068310,2023/08/01 00:00:00+00,1970/01/01 00:00:02.309+00,H,M,30,E,G,,,,X,,,,,X,,X,,N,,Y,Y,99
C3-068310,2023/08/01 00:00:00+00,1970/01/01 00:00:02.309+00,H,M,30,E,G,,,,,,,,,X,,,,N,,Y,Y,100
C3-067959,2023/07/31 00:00:00+00,1970/01/01 00:00:02.313+00,B,M,22,D,D,,,,X,,,,,X,,,,Y,Y,N,N,101
C3-067636,2023/07/31 00:00:00+00,1970/01/01 00:00:00.130+00,B,F,20,D,C,,,,X,,,,,X,,,,N,,Y,Y,102
C3-066355,2023/07/26 00:00:00+00,1970/01/01 00:00:02.154+00,,F,0,,Z,,,,,,,,X,,,,,,,,,103
C3-066050,2023/07/26 00:00:00+00,1970/01/01 00:00:00.300+00,W,M,38,D,C,,,,X,,,,,X,,,,N,,Y,N,104
C3-066049,2023/07/26 00:00:00+00,1970/01/01 00:00:00.243+00,I,M,29,C,C,,,,X,,,,,X,,,,N,,Y,Y,105
C3-066023,2023/07/25 00:00:00+00,1970/01/01 00:00:02.246+00,W,M,18,D,D,,,,X,,,,,X,,,,N,,N,N,106
C3-064532,2023/07/21 00:00:00+00,1970/01/01 00:00:01.555+00,B,M,15,E,C,,,,X,,,,,,,,,Y,Y,Y,Y,107
C3-064464,2023/07/21 00:00:00+00,1970/01/01 00:00:01.233+00,B,M,15,E,C,,,,X,,,,,,,,,N,,N,Y,108
C3-064464,2023/07/21 00:00:00+00,1970/01/01 00:00:01.233+00,B,M,15,E,C,,,,X,,,,,,,,,N,,N,Y,109
C3-063286,2023/07/17 00:00:00+00,1970/01/01 00:00:01.858+00,W,M,33,D,C,,,,X,,,,,X,,,,Y,N,N,N,110
C3-063286,2023/07/17 00:00:00+00,,W,M,33,D,C,,,,X,,,,,X,,,,Y,N,N,N,111
C3-063286,2023/07/17 00:00:00+00,1970/01/01 00:00:01.858+00,W,M,0,D,C,,,,X,,,,,X,,,,Y,N,N,N,112
C3-060395,2023/07/09 00:00:00+00,1970/01/01 00:00:01.149+00,W,M,36,E,C,,,,X,,,,,X,,,,Y,Y,Y,N,113
C3-060395,2023/07/09 00:00:00+00,1970/01/01 00:00:01.149+00,W,M,36,E,C,,,,X,,,,,X,,,,Y,Y,Y,N,114
C3-060132,2023/07/08 00:00:00+00,1970/01/01 00:00:01.638+00,B,M,32,E,C,,,,X,,,,,X,,,,N,,Y,Y,115
C3-059415,2023/07/12 00:00:00+00,1970/01/01 00:00:02.042+00,W,M,28,D,C,,,,X,,,,,X,,,,N,,Y,Y,116
C3-059415,2023/07/13 00:00:00+00,1970/01/01 00:00:02.042+00,W,M,28,D,C,,,,X,,,,,X,,,,N,,Y,Y,117
C3-057963,2023/07/02 00:00:00+00,1970/01/01 00:00:02.316+00,W,M,52,B,C,,,,,,,,,X,,,,N,,Y,N,118
C3-031111,2023/04/15 00:00:00+00,1970/01/01 00:00:01.823+00,B,M,38,D,C,,,,X,,,,,X,,,,N,N,N,N,119
C3-030883,2023/04/14 00:00:00+00,1970/01/01 00:00:02.230+00,B,M,19,D,C,,,,X,,,,,X,,,,N,,Y,Y,120
C3-030883,2023/04/14 00:00:00+00,1970/01/01 00:00:02.230+00,B,M,19,D,C,,,,X,,,,,,,,,N,,Y,Y,121
C3-030883,2023/04/14 00:00:00+00,1970/01/01 00:00:02.230+00,B,M,19,D,C,,,,X,,,,,X,,,,N,,Y,Y,122
C3-030176,2023/04/13 00:00:00+00,1970/01/01 00:00:00.208+00,W,M,53,D,C,,,,X,,,,,X,,,,N,,Y,N,123
C3-030036,2023/04/24 00:00:00+00,1970/01/01 00:00:01.622+00,H,F,46,D,D,,,,X,,,,,X,,,,N,,Y,Y,124
C3-029800,2023/04/12 00:00:00+00,1970/01/01 00:00:00.144+00,I,M,17,E,D,,,,X,,,,,X,,,,Y,N,Y,N,125
C3-029747,2023/04/11 00:00:00+00,1970/01/01 00:00:02.129+00,B,M,54,E,D,,,X,X,,,,,X,,,,N,,N,N,126
C3-029606,2023/04/11 00:00:00+00,1970/01/01 00:00:01.503+00,W,M,65,E,C,,,,X,,,,,X,,,,N,,Y,Y,127
C3-028823,2023/04/09 00:00:00+00,1970/01/01 00:00:00.457+00,B,M,50,E,G,,,,,,,,,X,,X,,N,,Y,Y,128
C3-027760,2023/04/05 00:00:00+00,1970/01/01 00:00:02.327+00,B,M,16,D,G,,,,X,,,,,X,,X,,Y,N,Y,Y,129
C3-027732,2023/04/05 00:00:00+00,1970/01/01 00:00:01.929+00,B,M,30,D,C,,,,X,,,,,X,,,,N,,Y,Y,130
C3-025833,2023/03/31 00:00:00+00,1970/01/01 00:00:00.325+00,I,M,38,D,C,,,,X,,,,,X,,,,N,,Y,N,131
C3-025418,2023/03/29 00:00:00+00,1970/01/01 00:00:01.800+00,W,M,22,D,D,,,,X,,,,,X,,,,N,,N,N,132
C3-025184,2023/04/27 00:00:00+00,1970/01/01 00:00:01.013+00,W,M,44,D,C,,,X,X,,,,,X,,,,Y,Y,N,,133
C3-025184,2023/04/27 00:00:00+00,1970/01/01 00:00:01.013+00,W,M,44,D,C,,,,X,,,,,X,,,,Y,N,N,,134
C3-025184,2023/04/27 00:00:00+00,1970/01/01 00:00:01.013+00,W,M,44,D,C,,,,X,,,,,X,,,,Y,N,N,,135
C3-024919,2023/03/28 00:00:00+00,1970/01/01 00:00:00.815+00,W,M,53,E,D,,,,X,,,,,X,,,,N,,N,N,136
C3-024863,2023/03/27 00:00:00+00,1970/01/01 00:00:02.315+00,,,0,,Z,,,,,,,,X,,,,,N,,,,137
C3-024317,2023/03/26 00:00:00+00,1970/01/01 00:00:00.530+00,I,M,26,E,D,,,,,,,X,,X,,,,Y,N,N,N,138
C3-024317,2023/03/26 00:00:00+00,1970/01/01 00:00:00.530+00,I,M,31,E,D,,,,,,,X,,X,,,,Y,N,N,Y,139
C3-023974,2023/03/25 00:00:00+00,1970/01/01 00:00:00.146+00,B,F,32,E,D,,,,,,,X,,X,,,,N,,N,Y,140
C3-023974,2023/03/25 00:00:00+00,1970/01/01 00:00:00.146+00,W,F,23,E,D,,,,,,,X,,X,,,,N,,N,Y,141
C3-023518,2023/03/23 00:00:00+00,1970/01/01 00:00:01.610+00,W,M,28,D,D,,,,X,,,,,X,,,,N,,N,N,142
C3-022605,2023/03/20 00:00:00+00,1970/01/01 00:00:01.924+00,W,M,24,E,G,,,,X,,,,,X,,X,,Y,N,N,Y,143
C3-021807,2023/03/17 00:00:00+00,1970/01/01 00:00:01.745+00,W,M,18,D,C,,,X,X,,,,,X,,,,N,,Y,Y,144
C3-021618,2023/03/17 00:00:00+00,1970/01/01 00:00:00.032+00,B,M,16,E,D,,,,X,,,,,X,,,,Y,N,N,Y,145
C3-021605,2023/03/16 00:00:00+00,1970/01/01 00:00:02.350+00,W,M,37,D,C,,,,X,,,,,,,,,N,,Y,Y,146
C3-019067,2023/03/07 00:00:00+00,1970/01/01 00:00:02.100+00,W,M,32,D,D,,,,X,,,,,,,,,N,,Y,,147
C3-019067,2023/03/07 00:00:00+00,1970/01/01 00:00:02.100+00,W,M,32,D,D,,,,X,,,,,,,,,N,,Y,Y,148
C3-019067,2023/03/07 00:00:00+00,1970/01/01 00:00:02.100+00,W,M,32,D,D,,,,X,,,,,X,,,,N,,Y,Y,149
C3-018677,2023/03/06 00:00:00+00,1970/01/01 00:00:01.558+00,W,M,27,E,G,,,,X,,,,,X,,X,,N,,N,Y,150
C3-018229,2023/03/05 00:00:00+00,1970/01/01 00:00:00.307+00,B,M,31,D,C,,,,X,,,,,X,,,,Y,N,N,N,151
C3-015828,2023/02/26 00:00:00+00,1970/01/01 00:00:01.210+00,W,M,20,D,C,,,,X,,,,,X,,,,N,,Y,Y,152
C3-015638,2023/02/24 00:00:00+00,1970/01/01 00:00:01.622+00,W,M,68,D,C,,,,X,,,,,X,,,,N,N,Y,N,153
C3-014781,2023/02/21 00:00:00+00,1970/01/01 00:00:01.745+00,W,M,14,E,G,,,,X,,,,,,,X,,N,N,N,Y,154
C3-013614,2023/02/17 00:00:00+00,1970/01/01 00:00:01.840+00,W,M,36,E,C,,,,X,,,,,X,,,,Y,N,Y,N,155
C3-013488,2023/02/17 00:00:00+00,1970/01/01 00:00:01.055+00,W,M,35,E,C,,,,X,,,,,X,,,,Y,N,N,Y,156
C3-013289,2023/02/16 00:00:00+00,1970/01/01 00:00:01.645+00,B,F,18,E,C,,,,X,,,,,X,,,,Y,N,N,Y,157
C3-012989,2023/02/15 00:00:00+00,1970/01/01 00:00:02.100+00,,,0,,H,,,,,,,,X,,,,,N,,,,158
C3-011409,2023/02/10 00:00:00+00,1970/01/01 00:00:01.906+00,B,M,46,D,D,,,,X,,,,,X,,,,N,,Y,Y,159
C3-010354,2023/02/07 00:00:00+00,1970/01/01 00:00:01.303+00,H,M,18,E,C,,,,X,,,,,X,,,,N,,Y,Y,160
C3-010354,2023/02/07 00:00:00+00,1970/01/01 00:00:01.303+00,H,M,18,E,C,,,,X,,,,,X,,,,N,,Y,Y,161
C3-009360,2023/02/03 00:00:00+00,1970/01/01 00:00:02.250+00,B,F,6,E,D,,,,X,,,,,X,,,,N,,N,N,162
C3-009360,2023/02/03 00:00:00+00,1970/01/01 00:00:02.250+00,B,F,6,E,D,,,,X,,,,,X,,,,N,,N,N,163
C3-007366,2023/01/27 00:00:00+00,1970/01/01 00:00:02.005+00,W,M,36,D,D,,,X,X,,,,,X,,,,Y,N,Y,Y,164
C3-006185,2023/01/23 00:00:00+00,1970/01/01 00:00:01.950+00,W,M,14,E,C,,,,X,,,,,X,,,,Y,N,Y,Y,165
C3-006185,2023/01/23 00:00:00+00,1970/01/01 00:00:01.950+00,W,M,14,E,C,,,,X,,,,,X,,,,Y,N,Y,Y,166
C3-005650,2023/01/21 00:00:00+00,1970/01/01 00:00:02.305+00,W,M,34,F,C,,,,X,,,,,X,,,,Y,N,N,N,167
C3-005126,2023/01/20 00:00:00+00,1970/01/01 00:00:00.931+00,W,F,15,D,C,,,,X,,,,,X,,,,Y,N,Y,N,168
C3-003497,2023/01/13 00:00:00+00,1970/01/01 00:00:02.355+00,,,0,,Z,,,,,,,,X,,,,,,,,,169
C3-002253,2023/01/09 00:00:00+00,1970/01/01 00:00:01.427+00,W,M,37,E,C,,,,X,,,,,X,,,,Y,N,N,N,170
C3-001023,2023/01/04 00:00:00+00,1970/01/01 00:00:02.015+00,W,M,20,E,G,,,,,,,,,X,,X,,N,,N,Y,171
C3-000883,2023/01/04 00:00:00+00,1970/01/01 00:00:01+00,B,M,13,D,C,,,,X,,,,,X,,,,N,,Y,N,172
C3-000883,2023/01/04 00:00:00+00,1970/01/01 00:00:01+00,B,M,13,D,C,,,,X,,,,,X,,,,N,,Y,N,173
 ,,,,,,,,,,,,,,,,,,,,,,,,174
C3-057871,2023/07/02 00:00:00+00,1970/01/01 00:00:02.046+00,W,M,56,D,D,,,,X,,,,,X,,,,N,N,Y,N,175
C3-056637,2023/06/29 00:00:00+00,1970/01/01 00:00:00.520+00,W,M,29,E,G,,,,X,,,,,X,,X,,N,,N,Y,176
C3-056527,2023/06/28 00:00:00+00,1970/01/01 00:00:01.800+00,W,F,25,D,C,,,,X,,,,,X,,,,N,,Y,Y,177
C3-056199,2023/06/27 00:00:00+00,1970/01/01 00:00:02.155+00,A,M,29,D,D,,,,X,,,,,X,,,,N,,N,N,178
C3-055831,2023/06/26 00:00:00+00,1970/01/01 00:00:02.300+00,W,F,34,D,C,,,,X,,,,,X,,,,N,,Y,N,179
C3-055831,2023/06/26 00:00:00+00,1970/01/01 00:00:02.300+00,W,F,34,D,C,,,,X,,,,,X,,,,N,,Y,N,180
C3-055804,2023/06/26 00:00:00+00,1970/01/01 00:00:02.009+00,I,F,16,D,C,,,,X,,,,,X,,,,N,N,Y,Y,181
C3-054549,2023/06/23 00:00:00+00,1970/01/01 00:00:00.115+00,W,M,39,E,C,,,,X,,,,,X,,,,N,,Y,N,182
C3-053474,2023/06/20 00:00:00+00,1970/01/01 00:00:00.248+00,B,M,25,E,G,,,,,,,,,X,,X,,N,,Y,Y,183
C3-053474,2023/06/20 00:00:00+00,1970/01/01 00:00:00.248+00,B,M,25,E,G,,,,X,,,,,X,,X,,N,,Y,Y,184
C3-052730,2023/06/17 00:00:00+00,1970/01/01 00:00:02.123+00,B,F,15,E,C,,,,X,,,,,X,,,,Y,N,Y,N,185
C3-051162,2023/06/13 00:00:00+00,1970/01/01 00:00:01.100+00,,,0,,Z,,,,,,,,X,,,,,N,,,,186
C3-050011,2023/06/09 00:00:00+00,1970/01/01 00:00:02.102+00,H,M,25,D,C,,,,X,,,,,X,,,,N,,Y,N,187
C3-050011,2023/06/09 00:00:00+00,1970/01/01 00:00:02.102+00,H,M,25,D,C,,,,X,,,,,X,,,,N,,Y,N,188
C3-049048,2023/06/07 00:00:00+00,1970/01/01 00:00:01.015+00,W,M,67,E,C,,,,X,,,,,X,,,,N,,Y,Y,189
C3-047649,2023/06/03 00:00:00+00,1970/01/01 00:00:00.732+00,B,F,18,D,C,,,,X,,,,,X,,,,Y,N,N,N,190
